frame_number,timestamp,keypoint_index,raw_x,raw_y,raw_z,raw_visibility,filtered_x,filtered_y,filtered_z,filtered_visibility,diff_x,diff_y,diff_z
5,0.166667,12,0.035592,0.377334,-0.109145,0.997913,0.050668,0.379018,-0.085729,0.997913,0.015075,0.001685,0.023416
5,0.166667,13,0.085414,0.441145,0.068840,0.256877,0.067090,0.442986,0.023978,0.256877,-0.018324,0.001842,-0.044862
5,0.166667,14,0.009088,0.433013,-0.164364,0.403469,0.026959,0.438796,-0.141617,0.403469,0.017871,0.005782,0.022747
5,0.166667,15,0.096403,0.465561,-0.038714,0.280260,0.078862,0.471942,-0.067133,0.280260,-0.017541,0.006381,-0.028419
5,0.166667,16,0.035372,0.452757,-0.267830,0.329450,0.032073,0.452293,-0.207796,0.329450,-0.003298,-0.000464,0.060034
5,0.166667,17,0.101183,0.475559,-0.052955,0.389559,0.082936,0.480914,-0.076898,0.389559,-0.018247,0.005356,-0.023943
5,0.166667,18,0.046050,0.461919,-0.301460,0.339362,0.036661,0.460577,-0.234035,0.339362,-0.009389,-0.001343,0.067426
5,0.166667,19,0.100882,0.466484,-0.072424,0.423013,0.083372,0.472397,-0.095477,0.423013,-0.017510,0.005913,-0.023053
5,0.166667,20,0.049928,0.452230,-0.297418,0.348876,0.037496,0.452105,-0.232174,0.348876,-0.012432,-0.000124,0.065244
5,0.166667,21,0.098984,0.464285,-0.047084,0.368332,0.082321,0.470867,-0.072774,0.368332,-0.016662,0.006582,-0.025690
5,0.166667,22,0.046992,0.448633,-0.268004,0.302233,0.036299,0.449107,-0.208638,0.302233,-0.010694,0.000473,0.059365
5,0.166667,23,0.076619,0.529525,0.053920,0.984632,0.053032,0.528428,0.042464,0.984632,-0.023587,-0.001097,-0.011456
5,0.166667,24,0.062386,0.532322,-0.053981,0.982158,0.053369,0.532927,-0.042547,0.982158,-0.009017,0.000604,0.011433
5,0.166667,25,0.073496,0.633262,0.065576,0.581902,0.066742,0.625242,0.088326,0.581902,-0.006754,-0.008019,0.022749
5,0.166667,26,0.075340,0.618724,-0.171219,0.763131,0.067398,0.622730,-0.077428,0.763131,-0.007942,0.004006,0.093791
5,0.166667,27,0.010245,0.654438,0.204119,0.821499,0.050716,0.707639,0.176218,0.821499,0.040470,0.053201,-0.027901
5,0.166667,28,0.046450,0.702807,-0.069750,0.785785,0.048049,0.704232,0.007035,0.785785,0.001599,0.001425,0.076785
5,0.166667,29,0.003313,0.649500,0.214690,0.800901,0.047717,0.729118,0.181402,0.800901,0.044403,0.079618,-0.033288
5,0.166667,30,0.046665,0.741078,-0.060140,0.716707,0.045032,0.737718,0.014711,0.716707,-0.001633,-0.003360,0.074852
5,0.166667,31,0.016291,0.706803,0.165803,0.721848,0.064683,0.734447,0.135055,0.721848,0.048391,0.027644,-0.030747
5,0.166667,32,0.056503,0.748493,-0.126063,0.632180,0.048878,0.734156,-0.029989,0.632180,-0.007625,-0.014336,0.096074
6,0.200000,0,0.072411,0.322189,-0.106199,0.998641,0.064301,0.324186,-0.079607,0.998641,-0.008110,0.001997,0.026592
6,0.200000,1,0.073485,0.312710,-0.089720,0.996901,0.063143,0.315120,-0.070532,0.996901,-0.010342,0.002410,0.019188
6,0.200000,2,0.074775,0.312771,-0.089860,0.997118,0.063275,0.315022,-0.070673,0.997118,-0.011500,0.002251,0.019187
6,0.200000,3,0.076030,0.312919,-0.089810,0.997234,0.063319,0.314991,-0.070626,0.997234,-0.012711,0.002072,0.019184
6,0.200000,4,0.068599,0.312421,-0.103282,0.997987,0.061550,0.315497,-0.080963,0.997987,-0.007049,0.003077,0.022319
